userId,userSessionId,teamLevel,platformType,count_gameclicks,count_hits,count_buyId,avg_price
937,5652,1,android,39,0,1,1
1623,5659,1,iphone,129,9,1,10
83,5661,1,android,102,14,1,5
121,5665,1,android,39,4,1,3
462,5666,1,android,90,10,1,3
819,5679,1,iphone,51,8,1,20
2199,5697,1,android,51,6,2,2.5
1143,5698,1,android,47,5,2,2
1652,5706,1,android,46,7,1,1
2222,5709,1,iphone,41,6,1,20
374,5716,1,android,47,7,1,3
1535,5720,1,iphone,76,7,1,20
21,5721,1,android,52,2,1,3
2379,5749,1,android,62,9,1,3
1807,5770,1,iphone,177,25,2,7.5
868,5775,1,iphone,54,5,1,10
1567,5777,1,android,27,4,2,4
221,5779,1,iphone,37,2,1,20
2306,5783,1,android,67,5,1,1
1065,5785,1,iphone,37,5,2,11.5
827,5788,1,iphone,75,5,1,20
1304,5798,1,mac,71,9,2,11.5
1264,5806,1,linux,81,12,1,5
1026,5807,1,iphone,52,10,1,20
649,5811,1,linux,51,9,1,1
1958,5817,1,android,40,3,1,20
1300,5820,1,android,58,1,2,3
178,5834,1,iphone,54,6,1,20
670,5844,1,iphone,38,3,2,20
208,5855,1,iphone,32,3,1,20
157,5858,1,iphone,32,2,1,10
2221,5860,1,iphone,191,18,2,11.5
471,5863,1,iphone,45,6,2,15
1234,5866,1,android,46,3,1,10
371,5870,1,android,53,9,1,3
2146,5880,1,linux,46,7,1,2
935,5887,1,iphone,57,2,1,10
165,5889,1,iphone,49,3,1,5
1538,5892,1,iphone,24,3,1,20
1544,5893,1,iphone,36,6,2,20
2218,5909,1,android,80,6,1,3
1162,5910,1,windows,192,16,1,2
1821,5914,1,windows,178,22,1,1
2133,5919,1,android,87,14,1,3
1027,5920,1,iphone,52,5,3,15
518,5921,1,linux,121,16,1,1
2029,5930,1,iphone,89,7,1,10
2384,5934,1,windows,41,5,1,1
1155,5938,1,iphone,71,16,1,20
564,5940,1,linux,34,3,1,1
97,5941,1,android,74,10,1,1
253,5945,1,android,66,12,1,3
934,5950,1,windows,43,4,1,10
2009,5955,1,iphone,27,4,1,5
1815,6088,1,iphone,272,24,1,3
864,6173,1,android,79,9,1,3
1457,6230,1,windows,54,4,1,1
754,6231,1,android,646,54,1,3
1022,6993,1,windows,8,1,2,3
12,7079,1,iphone,36,2,1,20
1804,7150,1,iphone,22,1,1,10
624,7512,2,iphone,132,16,1,20
2383,7522,2,android,196,23,1,2
1277,7523,2,windows,71,5,2,5
1143,7525,2,android,70,13,1,3
1652,7526,2,android,66,7,1,3
1027,7534,2,iphone,66,5,2,6
2222,7540,2,iphone,52,11,2,7.5
1260,7541,2,iphone,42,6,1,3
390,7545,2,linux,47,7,2,1
1155,7546,2,iphone,53,2,2,12.5
1072,7549,2,iphone,144,22,2,15
1555,7551,2,iphone,158,11,1,20
970,7556,2,iphone,49,8,1,5
374,7559,2,android,56,7,1,2
1958,7562,2,android,46,3,1,20
1064,7568,2,windows,39,2,1,1
355,7571,2,iphone,137,14,2,5
76,7580,2,windows,36,3,2,1.5
90,7589,2,android,27,1,1,2
1782,7594,2,android,32,5,2,11.5
1022,7595,2,windows,43,5,2,2
1807,7596,2,iphone,180,24,1,20
820,7599,2,android,41,5,1,2
221,7600,2,iphone,48,5,1,5
1892,7604,2,linux,59,8,1,2
382,7609,2,iphone,55,7,1,5
2229,7620,2,iphone,58,3,1,20
868,7625,2,iphone,41,7,1,20
445,7633,2,android,63,4,1,3
127,7635,2,iphone,69,11,1,10
2161,7636,2,android,92,11,2,3
1485,7656,2,iphone,101,13,1,20
1863,7663,2,android,30,3,2,2
881,7664,2,iphone,36,5,1,20
769,7680,2,android,43,1,1,3
2379,7684,2,android,68,9,2,6.5
178,7686,2,iphone,65,14,2,15
1234,7687,2,android,67,4,1,3
243,7691,2,linux,62,3,1,1
306,7695,2,windows,119,10,1,1
2355,7698,2,iphone,114,10,1,3
2133,7702,2,android,120,8,1,3
2029,7703,2,iphone,111,16,3,16.67
511,7707,2,iphone,97,8,1,20
1645,7710,2,mac,117,12,1,2
83,7715,2,android,107,11,1,3
1588,7721,2,android,39,1,1,3
1567,7724,2,android,39,7,1,3
1157,7730,2,android,35,1,1,3
564,7734,2,linux,21,2,1,1
2009,7736,2,iphone,32,2,1,20
1315,7739,2,windows,123,12,2,5.5
1162,7743,2,windows,199,28,1,10
1516,7747,2,windows,139,17,1,1
1697,7754,2,iphone,157,22,2,15
1370,7755,2,iphone,93,9,1,20
1856,7758,2,linux,112,10,1,1
1264,7759,2,linux,103,18,1,1
1307,7762,2,windows,94,7,2,1.5
2132,7769,2,iphone,67,7,1,20
367,7770,2,windows,83,12,2,1
1525,7772,2,iphone,97,9,2,7.5
253,7778,2,android,110,7,1,3
1457,7787,2,windows,88,7,1,1
1821,7790,2,windows,235,30,1,1
1214,7795,2,linux,95,11,2,1
1404,7800,2,mac,75,4,1,10
244,7804,2,android,101,14,1,3
309,7807,2,windows,57,7,1,1
1387,7808,2,android,70,10,1,2
2177,7824,2,iphone,201,23,1,20
1640,7838,2,iphone,62,11,1,10
97,7852,2,android,102,7,1,1
1793,7854,2,android,71,7,1,5
2306,7855,2,android,83,11,1,5
2092,7857,2,iphone,84,11,1,3
736,7979,2,android,93,11,1,2
754,8069,2,android,321,37,1,3
1639,8097,2,iphone,189,24,1,20
